100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
100.0	150.251
125	106
99	22
-53	46
44	201
100.0	150.251
125 201
125 201
125 201
